Year,Trade Flow,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Trade Value (US$)
2014,Re-Export,Rep. of Moldova,MDA,528,Netherlands,NLD,7,Machinery and transport equipment,47438
2014,Re-Export,Rep. of Moldova,MDA,0,World,WLD,TOTAL,All Commodities,809897389
2014,Re-Export,Rep. of Moldova,MDA,4,Afghanistan,AFG,TOTAL,All Commodities,33886
2014,Re-Export,Rep. of Moldova,MDA,8,Albania,ALB,TOTAL,All Commodities,67494
2014,Re-Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,TOTAL,All Commodities,298050
2014,Re-Export,Rep. of Moldova,MDA,40,Austria,AUT,TOTAL,All Commodities,1888630
2014,Re-Export,Rep. of Moldova,MDA,51,Armenia,ARM,TOTAL,All Commodities,497135
2014,Re-Export,Rep. of Moldova,MDA,56,Belgium,BEL,TOTAL,All Commodities,8842390
2014,Re-Export,Rep. of Moldova,MDA,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,595438
2014,Re-Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,TOTAL,All Commodities,13822742
2014,Re-Export,Rep. of Moldova,MDA,112,Belarus,BLR,TOTAL,All Commodities,14729597
2014,Re-Export,Rep. of Moldova,MDA,124,Canada,CAN,TOTAL,All Commodities,106093
2014,Re-Export,Rep. of Moldova,MDA,152,Chile,CHL,TOTAL,All Commodities,32293
2014,Re-Export,Rep. of Moldova,MDA,156,China,CHN,TOTAL,All Commodities,1944485
2014,Re-Export,Rep. of Moldova,MDA,178,Congo,COG,TOTAL,All Commodities,241749
2014,Re-Export,Rep. of Moldova,MDA,191,Croatia,HRV,TOTAL,All Commodities,41
2014,Re-Export,Rep. of Moldova,MDA,203,Czechia,CZE,TOTAL,All Commodities,1102860
2014,Re-Export,Rep. of Moldova,MDA,208,Denmark,DNK,TOTAL,All Commodities,401150
2014,Re-Export,Rep. of Moldova,MDA,233,Estonia,EST,TOTAL,All Commodities,100
2014,Re-Export,Rep. of Moldova,MDA,246,Finland,FIN,TOTAL,All Commodities,198036
2014,Re-Export,Rep. of Moldova,MDA,251,France,FRA,TOTAL,All Commodities,11751116
2014,Re-Export,Rep. of Moldova,MDA,268,Georgia,GEO,TOTAL,All Commodities,2788241
2014,Re-Export,Rep. of Moldova,MDA,276,Germany,DEU,TOTAL,All Commodities,31752422
2014,Re-Export,Rep. of Moldova,MDA,300,Greece,GRC,TOTAL,All Commodities,116764
2014,Re-Export,Rep. of Moldova,MDA,344,"China, Hong Kong SAR",HKG,TOTAL,All Commodities,509604
2014,Re-Export,Rep. of Moldova,MDA,348,Hungary,HUN,TOTAL,All Commodities,808352
